species	prey_history	OD_alone	OD_with_predator	defence
HAMBI-0006	ANC	0.6835	0.2635	-0.9531732881825872
HAMBI-0097	ANC	0.256	0.174	-0.38612214526503363
HAMBI-0105	ANC	0.4455	0.207	-0.7664784536454949
HAMBI-0262	ANC	0.14250000000000002	0.159	0.10956220251152624
HAMBI-0403	ANC	0.337	0.2075	-0.4849515906816089
HAMBI-1279	ANC	0.373	0.229	-0.48785641608957575
HAMBI-1287	ANC	0.537	0.4455	-0.18680084759800078
HAMBI-1292	ANC	0.106	0.1125	0.059514127532407715
HAMBI-1299	ANC	0.4975	0.28950000000000004	-0.5414402595855974
HAMBI-1842	ANC	0.401	0.33399999999999996	-0.18282043432986894
HAMBI-1896	ANC	0.4915000000000001	0.18	-1.0045050886970113
HAMBI-1923	ANC	0.1725	0.164	-0.05053080864721588
HAMBI-1972	ANC	0.35100000000000003	0.191	-0.608512795419236
HAMBI-1977	ANC	0.7035	0.489	-0.36370538707957173
HAMBI-1988	ANC	0.095	0.1045	0.09531017980432474
HAMBI-2159	ANC	0.8174999999999999	0.198	-1.4179838720768732
HAMBI-2160	ANC	0.283	0.1715	-0.5008636310372429
HAMBI-2164	ANC	0.196	0.14600000000000002	-0.29450803752218074
HAMBI-2443	ANC	0.094	0.109	0.14805309995913976
HAMBI-2494	ANC	0.637	0.2205	-1.0608719606852628
HAMBI-2659	ANC	0.245	0.1515	-0.4806725855953032
HAMBI-2792	ANC	0.0945	0.14900000000000002	0.45534647144576224
HAMBI-3031	ANC	0.0925	0.106	0.13623044959368769
HAMBI-3237	ANC	0.172	0.118	-0.3768098523477883
