transfer_category	transfer_volume_ul	replicate	prey_history	predator_history	time_days	bacteria_od
lo	18	A	anc	anc	4	0.209
lo	18	A	anc	anc	8	0.283
lo	18	A	anc	anc	12	0.252
lo	18	A	anc	anc	16	0.166
lo	18	A	anc	anc	20	0.225
lo	18	A	anc	anc	24	0.188
lo	18	A	anc	anc	28	0.198
lo	18	A	anc	anc	32	0.215
lo	18	A	anc	anc	36	0.246
lo	18	A	anc	anc	40	0.371
lo	18	A	anc	anc	44	0.294
lo	18	A	anc	anc	48	0.193
lo	18	A	anc	anc	52	0.241
lo	18	A	anc	anc	56	0.25
lo	18	A	anc	anc	60	0.366
md	180	A	anc	anc	4	0.198
md	180	A	anc	anc	8	0.224
md	180	A	anc	anc	12	0.213
md	180	A	anc	anc	16	0.218
md	180	A	anc	anc	20	0.192
md	180	A	anc	anc	24	0.231
md	180	A	anc	anc	28	0.222
md	180	A	anc	anc	32	0.205
md	180	A	anc	anc	36	0.203
md	180	A	anc	anc	40	0.243
md	180	A	anc	anc	44	0.231
md	180	A	anc	anc	48	0.224
md	180	A	anc	anc	52	0.217
md	180	A	anc	anc	56	0.25
md	180	A	anc	anc	60	0.3
hi	1800	A	anc	anc	4	0.223
hi	1800	A	anc	anc	8	0.192
hi	1800	A	anc	anc	12	0.21
hi	1800	A	anc	anc	16	0.238
hi	1800	A	anc	anc	20	0.259
hi	1800	A	anc	anc	24	0.223
hi	1800	A	anc	anc	28	0.217
hi	1800	A	anc	anc	32	0.206
hi	1800	A	anc	anc	36	0.221
hi	1800	A	anc	anc	40	0.306
hi	1800	A	anc	anc	44	0.273
hi	1800	A	anc	anc	48	0.343
hi	1800	A	anc	anc	52	0.294
hi	1800	A	anc	anc	56	0.305
hi	1800	A	anc	anc	60	0.27
lo	18	A	anc	evo	4	0.187
lo	18	A	anc	evo	8	0.203
lo	18	A	anc	evo	12	0.197
lo	18	A	anc	evo	16	0.206
lo	18	A	anc	evo	20	0.207
lo	18	A	anc	evo	24	0.243
lo	18	A	anc	evo	28	0.257
lo	18	A	anc	evo	32	0.292
lo	18	A	anc	evo	36	0.291
lo	18	A	anc	evo	40	0.271
lo	18	A	anc	evo	44	0.285
lo	18	A	anc	evo	48	0.205
lo	18	A	anc	evo	52	0.184
lo	18	A	anc	evo	56	0.243
lo	18	A	anc	evo	60	0.345
md	180	A	anc	evo	4	0.192
