species	prey_history	OD_alone	OD_with_predator	defence
HAMBI-0006	EVO	0.5105	0.421	-0.1927578039223387
HAMBI-0097	EVO	0.1735	0.173	-0.0028860048891349867
HAMBI-0105	EVO	0.447	0.1885	-0.8634605877255034
HAMBI-0262	EVO	0.187	0.1795	-0.04093340892625311
HAMBI-0403	EVO	0.5025	0.4815	-0.04268940869505044
HAMBI-1279	EVO	0.37350000000000005	0.4115	0.09689101554425224
HAMBI-1287	EVO	0.519	0.4045	-0.24925214666734227
HAMBI-1292	EVO	0.8085	0.8320000000000001	0.028651761804047226
HAMBI-1299	EVO	0.477	0.372	-0.2486226366151946
HAMBI-1842	EVO	0.7084999999999999	0.912	0.2524899309435965
HAMBI-1896	EVO	0.5055000000000001	0.4465	-0.1241086381439725
HAMBI-1923	EVO	0.207	0.1555	-0.28607306164608026
HAMBI-1972	EVO	0.348	0.35850000000000004	0.029726180265200904
HAMBI-1977	EVO	0.6425	0.495	-0.2608090542006845
HAMBI-1988	EVO	0.3285	0.1575	-0.7351113796589775
HAMBI-2159	EVO	0.718	0.415	-0.5481910488175258
HAMBI-2160	EVO	0.351	0.1525	-0.8336216274183994
HAMBI-2164	EVO	0.363	0.168	-0.7704388548615917
HAMBI-2443	EVO	0.4335000000000001	0.27549999999999997	-0.45330416762762765
HAMBI-2494	EVO	0.6575	0.2245	-1.0745690568696105
HAMBI-2659	EVO	0.33899999999999997	0.161	-0.7445957423959871
HAMBI-2792	EVO	0.4075	0.201	-0.7067360246218416
HAMBI-3031	EVO	0.42	0.158	-0.9776596782504472
HAMBI-3237	EVO	0.3085	0.14400000000000002	-0.7619085437694417
