species	tetrahymena	bacteria_history	replicate	auc_log	gr	k_lin	OD_Min	OD_Max
HAMBI0006	no	anc	A	136.85665487554397	0.2804211769225338	0.5314379974500097	0.099	0.654
HAMBI0006	no	anc	B	134.01885833642248	0.28861192318932233	0.5727516973433866	0.099	0.6809999999999999
HAMBI0006	no	anc	C	134.9708442222215	0.2824314693585596	0.5726982537418818	0.099	0.6859999999999999
HAMBI0006	no	anc	D	134.6736244848548	0.28969201003653755	0.5788073146072645	0.099	0.6940000000000001
HAMBI0006	no	anc	E	131.90086652830217	0.285608403036096	0.5615608754678586	0.099	0.6779999999999999
HAMBI0006	no	anc	F	137.39558847456186	0.2723950401355471	0.5752069329276955	0.099	0.69
HAMBI0006	no	anc	G	137.02447547623612	0.23410685043249083	0.5771313876834975	0.099	0.6890000000000001
HAMBI0006	no	anc	H	135.65839456033282	0.2657529327763533	0.5654957244391008	0.099	0.675
HAMBI0097	no	anc	A	32.733825778426755	0.1210761254581851	0.1409237827049728	0.099	0.241
HAMBI0097	no	anc	B	40.207888591749494	0.1385647683743947	0.11563092241542997	0.099	0.218
HAMBI0097	no	anc	C	23.998538574234292	0.07877814842295001	0.1154819357583448	0.099	0.218
HAMBI0097	no	anc	D	32.68842976783647	0.11607989761956622	0.17647483702542793	0.1	0.27899999999999997
HAMBI0097	no	anc	E	27.048688087632804	0.11526197240674436	0.14480884300573538	0.099	0.249
HAMBI0097	no	anc	F	32.52095702750459	0.093577899431773	0.16669762510507147	0.098	0.26899999999999996
HAMBI0097	no	anc	G	30.330968225512624	0.1037776988929448	0.15877579257818783	0.098	0.263
HAMBI0097	no	anc	H	29.937785130302657	0.10637524161972908	0.15940500439639965	0.098	0.263
HAMBI0105	no	anc	A	98.99129041449734	0.09571849189909527	0.3350544314945388	0.098	0.43700000000000006
HAMBI0105	no	anc	B	103.87528676329516	0.09869223967611536	0.39110519605268945	0.097	0.49
HAMBI0105	no	anc	C	101.94533393986951	0.1035067719235752	0.3624178073643696	0.098	0.465
HAMBI0105	no	anc	D	98.60971642048764	0.09416341201433544	0.34358853008537943	0.1	0.445
HAMBI0105	no	anc	E	97.71365994670572	0.10505972645342196	0.33510519932009347	0.101	0.43799999999999994
HAMBI0105	no	anc	F	100.6487288488854	0.09464524803472268	0.3419962514554892	0.098	0.445
HAMBI0105	no	anc	G	99.65640057252132	0.09151780129617272	0.34073025297878373	0.099	0.446
HAMBI0105	no	anc	H	101.83344962536148	0.0947632289256564	0.3546276980966506	0.099	0.456
HAMBI0262	no	anc	A	7.021848476170634	0.01829454976344781	0.04124933277928519	0.099	0.142
