time_days	replicate	transfer_volume	prey_history	predator_history	cells_mL
4	A	18uL	ANC	ANC	30553.20
4	B	18uL	ANC	ANC	24329.40
4	C	18uL	ANC	ANC	32250.60
4	D	18uL	ANC	ANC	32062.00
4	E	18uL	ANC	ANC	30364.60
4	F	18uL	ANC	ANC	26026.80
8	A	18uL	ANC	ANC	15465.20
8	B	18uL	ANC	ANC	13390.60
8	C	18uL	ANC	ANC	24518.00
8	D	18uL	ANC	ANC	19803.00
8	E	18uL	ANC	ANC	24706.60
8	F	18uL	ANC	ANC	23197.80
12	A	18uL	ANC	ANC	14333.60
12	B	18uL	ANC	ANC	10750.20
12	C	18uL	ANC	ANC	22254.80
12	D	18uL	ANC	ANC	20180.20
12	E	18uL	ANC	ANC	21877.60
12	F	18uL	ANC	ANC	23009.20
16	A	18uL	ANC	ANC	29987.40
16	B	18uL	ANC	ANC	14710.80
16	C	18uL	ANC	ANC	22443.40
16	D	18uL	ANC	ANC	2263.20
16	E	18uL	ANC	ANC	24140.80
16	F	18uL	ANC	ANC	27535.60
20	A	18uL	ANC	ANC	27912.80
20	B	18uL	ANC	ANC	27158.40
20	C	18uL	ANC	ANC	34702.40
20	D	18uL	ANC	ANC	2263.20
20	E	18uL	ANC	ANC	33759.40
20	F	18uL	ANC	ANC	35268.20
24	A	18uL	ANC	ANC	48658.80
24	B	18uL	ANC	ANC	34325.20
24	C	18uL	ANC	ANC	42246.40
24	D	18uL	ANC	ANC	31684.80
24	E	18uL	ANC	ANC	32439.20
24	F	18uL	ANC	ANC	42623.60
28	A	18uL	ANC	ANC	46961.4
28	B	18uL	ANC	ANC	46018.4
28	C	18uL	ANC	ANC	47527.2
28	D	18uL	ANC	ANC	52053.6
28	E	18uL	ANC	ANC	20180.2
28	F	18uL	ANC	ANC	13202
32	A	18uL	ANC	ANC	62803.80
32	B	18uL	ANC	ANC	50356.20
32	C	18uL	ANC	ANC	44321.00
32	D	18uL	ANC	ANC	36777.00
32	E	18uL	ANC	ANC	37342.80
32	F	18uL	ANC	ANC	55259.80
36	A	18uL	ANC	ANC	17351.20
36	B	18uL	ANC	ANC	16408.20
36	C	18uL	ANC	ANC	19237.20
36	D	18uL	ANC	ANC	8109.80
36	E	18uL	ANC	ANC	5658.00
36	F	18uL	ANC	ANC	19237.20
40	A	18uL	ANC	ANC	16974.00
40	B	18uL	ANC	ANC	34891.00
40	C	18uL	ANC	ANC	42246.40
40	D	18uL	ANC	ANC	50544.80
40	E	18uL	ANC	ANC	14333.60
40	F	18uL	ANC	ANC	23197.80
44	A	18uL	ANC	ANC	21877.60
44	B	18uL	ANC	ANC	29421.60
44	C	18uL	ANC	ANC	32816.40
44	D	18uL	ANC	ANC	19237.20
44	E	18uL	ANC	ANC	3583.40
44	F	18uL	ANC	ANC	22066.20
48	A	18uL	ANC	ANC	25649.60
48	B	18uL	ANC	ANC	31496.20
48	C	18uL	ANC	ANC	12447.60
48	D	18uL	ANC	ANC	38285.80
48	E	18uL	ANC	ANC	7355.40
48	F	18uL	ANC	ANC	38285.80
52	A	18uL	ANC	ANC	11127.40
52	B	18uL	ANC	ANC	16219.60
52	C	18uL	ANC	ANC	7355.40
52	D	18uL	ANC	ANC	19425.80
52	E	18uL	ANC	ANC	5092.20
52	F	18uL	ANC	ANC	49601.80
56	A	18uL	ANC	ANC	15276.60
56	B	18uL	ANC	ANC	15465.20
56	C	18uL	ANC	ANC	10938.80
56	D	18uL	ANC	ANC	38851.60
56	E	18uL	ANC	ANC	10750.20
56	F	18uL	ANC	ANC	43378.00
60	A	18uL	ANC	ANC	17539.80
60	B	18uL	ANC	ANC	13202.00
60	C	18uL	ANC	ANC	6978.20
60	D	18uL	ANC	ANC	23009.20
60	E	18uL	ANC	ANC	8675.60
60	F	18uL	ANC	ANC	12636.20
4	A	180uL	ANC	ANC	40926.20
4	B	180uL	ANC	ANC	47527.20
