plate	well	incubation_length_hours	cloneOD	clone_plus_ciliateOD	prey	predator	replicate	ciliate_detected	experiment_day			OD difference	Defence
plate10	A01	48	0.247	0.247	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0	1
plate10	A02	48	0.507	0.046	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.461	0.539
plate10	A03	48	0.251	0.24	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.011	0.989
plate10	A04	48	0.25	0.24	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.01	0.99
plate10	A05	48	0.396	0.171	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.225	0.775
plate10	A06	48	0.241	0.238	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.003	0.997
plate10	A07	48	0.242	0.241	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.001	0.999
plate10	A08	48	0.241	0.105	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.136	0.864
plate10	A09	48	0.241	0.252	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			-0.011	1.011
plate10	A10	48	0.261	0.257	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.004	0.996
plate10	A11	48	0.258	0.04	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.218	0.782
plate10	A12	48	0.265	0.262	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.003	0.997
plate10	B01	48	0.258	0.17	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.088	0.912
plate10	B02	48	0.241	0.23	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.011	0.989
plate10	B03	48	0.126	0.18	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			-0.054	1.054
plate10	B04	48	0.039	0.047	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			-0.008	1.008
plate10	B05	48	0.359	0.234	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.125	0.875
plate10	B06	48	0.333	0.094	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.239	0.761
plate10	B07	48	0.509	0.041	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.468	0.532
plate10	B08	48	0.397	0.064	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.333	0.667
plate10	B09	48	0.232	0.231	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			0.001	0.999
plate10	B10	48	0.25	0.058	Ancestral Bacteria	Evolved Ciliates	1	TRUE	8			0.192	0.808
plate10	B11	48	0.359	0.39	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			-0.031	1.031
plate10	B12	48	0.277	0.28	Ancestral Bacteria	Evolved Ciliates	1	FALSE	8			-0.003	1.003
plate10	C01	48	0.46	0.046	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.414	0.586
plate10	C02	48	0.461	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.42	0.58
plate10	C03	48	0.352	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.311	0.689
plate10	C04	48	0.303	0.228	Ancestral Bacteria	Evolved Ciliates	5	FALSE	8			0.075	0.925
plate10	C05	48	0.435	0.076	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.359	0.641
plate10	C06	48	0.311	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.27	0.73
plate10	C07	48	0.475	0.043	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.432	0.568
plate10	C08	48	0.338	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.297	0.703
plate10	C09	48	0.497	0.042	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.455	0.545
plate10	C10	48	0.554	0.043	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.511	0.489
plate10	C11	48	0.273	0.042	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.231	0.769
plate10	C12	48	0.444	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.403	0.597
plate10	D01	48	0.09	0.042	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.048	0.952
plate10	D02	48	0.481	0.04	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.441	0.559
plate10	D03	48	0.418	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.377	0.623
plate10	D04	48	0.379	0.042	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.337	0.663
plate10	D05	48	0.483	0.044	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.439	0.561
plate10	D06	48	0.366	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.325	0.675
plate10	D07	48	0.269	0.044	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.225	0.775
plate10	D08	48	0.446	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.405	0.595
plate10	D09	48	0.38	0.041	Ancestral Bacteria	Evolved Ciliates	5	TRUE	8			0.339	0.661
