sample	old_sample_number	transfer_volume	replicate	prey_history	predator_history	time_days
HAMBI0559	559	1800uL	A	ANC	ANC	0
HAMBI0193	193	1800uL	A	ANC	ANC	4
HAMBI0205	205	1800uL	A	ANC	ANC	8
HAMBI0217	217	1800uL	A	ANC	ANC	12
HAMBI0229	229	1800uL	A	ANC	ANC	16
HAMBI0241	241	1800uL	A	ANC	ANC	20
HAMBI0253	253	1800uL	A	ANC	ANC	24
HAMBI0265	265	1800uL	A	ANC	ANC	28
HAMBI0690	690	1800uL	A	ANC	ANC	32
HAMBI0702	702	1800uL	A	ANC	ANC	36
HAMBI0728	728	1800uL	A	ANC	ANC	40
HAMBI0740	740	1800uL	A	ANC	ANC	44
HAMBI0433	433	1800uL	A	ANC	ANC	48
HAMBI0529	529	1800uL	A	ANC	ANC	52
HAMBI0541	541	1800uL	A	ANC	ANC	56
HAMBI0601	601	1800uL	A	ANC	ANC	60
HAMBI0559	559	1800uL	C	ANC	ANC	0
HAMBI0194	194	1800uL	C	ANC	ANC	4
HAMBI0206	206	1800uL	C	ANC	ANC	8
HAMBI0218	218	1800uL	C	ANC	ANC	12
HAMBI0230	230	1800uL	C	ANC	ANC	16
HAMBI0242	242	1800uL	C	ANC	ANC	20
HAMBI0254	254	1800uL	C	ANC	ANC	24
HAMBI0266	266	1800uL	C	ANC	ANC	28
HAMBI0750	750	1800uL	C	ANC	ANC	32
HAMBI0703	703	1800uL	C	ANC	ANC	36
HAMBI0410	410	1800uL	C	ANC	ANC	40
HAMBI0422	422	1800uL	C	ANC	ANC	44
HAMBI0434	434	1800uL	C	ANC	ANC	48
HAMBI0705	705	1800uL	C	ANC	ANC	52
HAMBI0542	542	1800uL	C	ANC	ANC	56
HAMBI0602	602	1800uL	C	ANC	ANC	60
HAMBI0559	559	1800uL	E	ANC	ANC	0
HAMBI0195	195	1800uL	E	ANC	ANC	4
HAMBI0207	207	1800uL	E	ANC	ANC	8
HAMBI0219	219	1800uL	E	ANC	ANC	12
HAMBI0231	231	1800uL	E	ANC	ANC	16
HAMBI0243	243	1800uL	E	ANC	ANC	20
HAMBI0255	255	1800uL	E	ANC	ANC	24
HAMBI0267	267	1800uL	E	ANC	ANC	28
HAMBI0751	751	1800uL	E	ANC	ANC	32
HAMBI0763	763	1800uL	E	ANC	ANC	36
HAMBI0715	715	1800uL	E	ANC	ANC	40
HAMBI0423	423	1800uL	E	ANC	ANC	44
HAMBI0435	435	1800uL	E	ANC	ANC	48
HAMBI0693	693	1800uL	E	ANC	ANC	52
HAMBI0543	543	1800uL	E	ANC	ANC	56
HAMBI0603	603	1800uL	E	ANC	ANC	60
HAMBI0559	559	1800uL	A	ANC	EVO	0
HAMBI0196	196	1800uL	A	ANC	EVO	4
HAMBI0208	208	1800uL	A	ANC	EVO	8
HAMBI0220	220	1800uL	A	ANC	EVO	12
HAMBI0232	232	1800uL	A	ANC	EVO	16
HAMBI0244	244	1800uL	A	ANC	EVO	20
HAMBI0256	256	1800uL	A	ANC	EVO	24
HAMBI0268	268	1800uL	A	ANC	EVO	28
HAMBI0704	704	1800uL	A	ANC	EVO	32
HAMBI0692	692	1800uL	A	ANC	EVO	36
HAMBI0726	726	1800uL	A	ANC	EVO	40
HAMBI0691	691	1800uL	A	ANC	EVO	44
HAMBI0436	436	1800uL	A	ANC	EVO	48
HAMBI0532	532	1800uL	A	ANC	EVO	52
HAMBI0544	544	1800uL	A	ANC	EVO	56
HAMBI0604	604	1800uL	A	ANC	EVO	60
HAMBI0559	559	1800uL	C	ANC	EVO	0
HAMBI0197	197	1800uL	C	ANC	EVO	4
HAMBI0209	209	1800uL	C	ANC	EVO	8
HAMBI0221	221	1800uL	C	ANC	EVO	12
HAMBI0233	233	1800uL	C	ANC	EVO	16
HAMBI0245	245	1800uL	C	ANC	EVO	20
HAMBI0257	257	1800uL	C	ANC	EVO	24
HAMBI0269	269	1800uL	C	ANC	EVO	28
HAMBI0389	389	1800uL	C	ANC	EVO	32
HAMBI0762	762	1800uL	C	ANC	EVO	36
HAMBI0650	650	1800uL	C	ANC	EVO	40
HAMBI0425	425	1800uL	C	ANC	EVO	44
HAMBI0437	437	1800uL	C	ANC	EVO	48
HAMBI0533	533	1800uL	C	ANC	EVO	52
HAMBI0545	545	1800uL	C	ANC	EVO	56
HAMBI0605	605	1800uL	C	ANC	EVO	60
HAMBI0559	559	1800uL	E	ANC	EVO	0
HAMBI0198	198	1800uL	E	ANC	EVO	4
HAMBI0210	210	1800uL	E	ANC	EVO	8
HAMBI0222	222	1800uL	E	ANC	EVO	12
HAMBI0234	234	1800uL	E	ANC	EVO	16
HAMBI0246	246	1800uL	E	ANC	EVO	20
HAMBI0258	258	1800uL	E	ANC	EVO	24
HAMBI0270	270	1800uL	E	ANC	EVO	28
HAMBI0679	679	1800uL	E	ANC	EVO	32
HAMBI0402	402	1800uL	E	ANC	EVO	36
HAMBI0414	414	1800uL	E	ANC	EVO	40
HAMBI0426	426	1800uL	E	ANC	EVO	44
HAMBI0438	438	1800uL	E	ANC	EVO	48
HAMBI0534	534	1800uL	E	ANC	EVO	52
HAMBI0546	546	1800uL	E	ANC	EVO	56
HAMBI0606	606	1800uL	E	ANC	EVO	60
HAMBI0559	559	1800uL	A	ANC	no_predator	0
HAMBI0277	277	1800uL	A	ANC	no_predator	12
HAMBI0283	283	1800uL	A	ANC	no_predator	28
HAMBI0553	553	1800uL	A	ANC	no_predator	44
HAMBI0643	643	1800uL	A	ANC	no_predator	60
HAMBI0559	559	1800uL	C	ANC	no_predator	0
HAMBI0278	278	1800uL	C	ANC	no_predator	12
HAMBI0284	284	1800uL	C	ANC	no_predator	28
HAMBI0554	554	1800uL	C	ANC	no_predator	44
HAMBI0644	644	1800uL	C	ANC	no_predator	60
HAMBI0559	559	1800uL	E	ANC	no_predator	0
HAMBI0279	279	1800uL	E	ANC	no_predator	12
HAMBI0285	285	1800uL	E	ANC	no_predator	28
HAMBI0555	555	1800uL	E	ANC	no_predator	44
HAMBI0645	645	1800uL	E	ANC	no_predator	60
HAMBI0661	661	1800uL	A	EVO	ANC	0
HAMBI0199	199	1800uL	A	EVO	ANC	4
HAMBI0211	211	1800uL	A	EVO	ANC	8
HAMBI0223	223	1800uL	A	EVO	ANC	12
HAMBI0235	235	1800uL	A	EVO	ANC	16
HAMBI0247	247	1800uL	A	EVO	ANC	20
HAMBI0259	259	1800uL	A	EVO	ANC	24
HAMBI0271	271	1800uL	A	EVO	ANC	28
HAMBI0391	391	1800uL	A	EVO	ANC	32
HAMBI0403	403	1800uL	A	EVO	ANC	36
HAMBI0415	415	1800uL	A	EVO	ANC	40
HAMBI0427	427	1800uL	A	EVO	ANC	44
HAMBI0439	439	1800uL	A	EVO	ANC	48
HAMBI0535	535	1800uL	A	EVO	ANC	52
HAMBI0547	547	1800uL	A	EVO	ANC	56
HAMBI0607	607	1800uL	A	EVO	ANC	60
HAMBI0662	662	1800uL	C	EVO	ANC	0
HAMBI0200	200	1800uL	C	EVO	ANC	4
HAMBI0212	212	1800uL	C	EVO	ANC	8
HAMBI0224	224	1800uL	C	EVO	ANC	12
HAMBI0236	236	1800uL	C	EVO	ANC	16
HAMBI0248	248	1800uL	C	EVO	ANC	20
HAMBI0260	260	1800uL	C	EVO	ANC	24
HAMBI0272	272	1800uL	C	EVO	ANC	28
HAMBI0392	392	1800uL	C	EVO	ANC	32
