"sample","strainID","genus","species","count","old_sample_number","transfer_volume","replicate","prey_history","predator_history","time_days"
"HAMBI0193","HAMBI-0006","Pseudomonas","putida",18,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-0097","Acinetobacter","lwoffii",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-0105","Agrobacterium","tumefaciens",51,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-0262","Brevundimonas","bullata",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-0403","Comamonas","testosteroni",484,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1279","Hafnia","alvei",104,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1287","Citrobacter","koseri",2958,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1292","Morganella","morganii",1817,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1299","Kluyvera","intermedia",47,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1842","Sphingobium","yanoikuyae",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1896","Sphingobacterium","spiritivorum",2,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1923","Myroides","odoratus",1201,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1972","Aeromonas","caviae",199,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1977","Pseudomonas","chlororaphis",1538,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-1988","Chitinophaga","sancti",1,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2159","Paraburkholderia","caryophylli",17,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2160","Bordetella","avium",7,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2164","Cupriavidus","necator",1,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2443","Paracoccus","denitrificans",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2494","Paraburkholderia","kururiensis",50,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2659","Stenotrophomonas","maltophilia",2067,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-2792","Moraxella","canis",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-3031","Niabella","yanshanensis",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0193","HAMBI-3237","Microvirga","lotononidis",0,193,"1800uL","A","ANC","ANC",4
"HAMBI0194","HAMBI-0006","Pseudomonas","putida",5,194,"1800uL","C","ANC","ANC",4
"HAMBI0194","HAMBI-0097","Acinetobacter","lwoffii",0,194,"1800uL","C","ANC","ANC",4
"HAMBI0194","HAMBI-0105","Agrobacterium","tumefaciens",33,194,"1800uL","C","ANC","ANC",4
"HAMBI0194","HAMBI-0262","Brevundimonas","bullata",0,194,"1800uL","C","ANC","ANC",4
"HAMBI0194","HAMBI-0403","Comamonas","testosteroni",292,194,"1800uL","C","ANC","ANC",4
"HAMBI0194","HAMBI-1279","Hafnia","alvei",94,194,"1800uL","C","ANC","ANC",4
