sample	strainID	genus	species	count
HAMBI0001	HAMBI-0006	Pseudomonas	putida	10
HAMBI0001	HAMBI-0097	Acinetobacter	lwoffii	5
HAMBI0001	HAMBI-0105	Agrobacterium	tumefaciens	184
HAMBI0001	HAMBI-0262	Brevundimonas	bullata	0
HAMBI0001	HAMBI-0403	Comamonas	testosteroni	1261
HAMBI0001	HAMBI-1279	Hafnia	alvei	372
HAMBI0001	HAMBI-1287	Citrobacter	koseri	5392
HAMBI0001	HAMBI-1292	Morganella	morganii	2193
HAMBI0001	HAMBI-1299	Kluyvera	intermedia	72
HAMBI0001	HAMBI-1842	Sphingobium	yanoikuyae	0
HAMBI0001	HAMBI-1896	Sphingobacterium	spiritivorum	4
HAMBI0001	HAMBI-1923	Myroides	odoratus	3849
HAMBI0001	HAMBI-1972	Aeromonas	caviae	650
HAMBI0001	HAMBI-1977	Pseudomonas	chlororaphis	4092
HAMBI0001	HAMBI-1988	Chitinophaga	sancti	2
HAMBI0001	HAMBI-2159	Paraburkholderia	caryophylli	59
HAMBI0001	HAMBI-2160	Bordetella	avium	27
HAMBI0001	HAMBI-2164	Cupriavidus	necator	1
HAMBI0001	HAMBI-2443	Paracoccus	denitrificans	0
HAMBI0001	HAMBI-2494	Paraburkholderia	kururiensis	88
HAMBI0001	HAMBI-2659	Stenotrophomonas	maltophilia	3947
HAMBI0001	HAMBI-2792	Moraxella	canis	1
HAMBI0001	HAMBI-3031	Niabella	yanshanensis	0
HAMBI0001	HAMBI-3237	Microvirga	lotononidis	0
HAMBI0007	HAMBI-0006	Pseudomonas	putida	54
HAMBI0007	HAMBI-0097	Acinetobacter	lwoffii	1
HAMBI0007	HAMBI-0105	Agrobacterium	tumefaciens	503
HAMBI0007	HAMBI-0262	Brevundimonas	bullata	1
HAMBI0007	HAMBI-0403	Comamonas	testosteroni	1560
HAMBI0007	HAMBI-1279	Hafnia	alvei	293
HAMBI0007	HAMBI-1287	Citrobacter	koseri	6358
HAMBI0007	HAMBI-1292	Morganella	morganii	1593
HAMBI0007	HAMBI-1299	Kluyvera	intermedia	239
HAMBI0007	HAMBI-1842	Sphingobium	yanoikuyae	0
HAMBI0007	HAMBI-1896	Sphingobacterium	spiritivorum	0
HAMBI0007	HAMBI-1923	Myroides	odoratus	2411
