time_days replicate transfer_volume prey_history predator_history cells_mL
4 A 1800uL ANC ANC 38474.4
4 C 1800uL ANC ANC 47715.8
4 E 1800uL ANC ANC 35834
8 A 1800uL ANC ANC 19991.6
8 C 1800uL ANC ANC 22066.2
8 E 1800uL ANC ANC 21123.2
12 A 1800uL ANC ANC 18105.6
12 C 1800uL ANC ANC 19048.6
12 E 1800uL ANC ANC 21311.8
16 A 1800uL ANC ANC 42246.4
16 C 1800uL ANC ANC 13767.8
16 E 1800uL ANC ANC 12447.6
20 A 1800uL ANC ANC 8675.6
20 C 1800uL ANC ANC 13956.4
20 E 1800uL ANC ANC 9995.8
24 A 1800uL ANC ANC 13767.8
24 C 1800uL ANC ANC 26026.8
24 E 1800uL ANC ANC 24895.2
28 A 1800uL ANC ANC 38097.2
28 C 1800uL ANC ANC 40360.4
28 E 1800uL ANC ANC 22254.8
32 A 1800uL ANC ANC 26215.4
32 C 1800uL ANC ANC 23197.8
32 E 1800uL ANC ANC 36211.2
36 A 1800uL ANC ANC 27158.4
36 C 1800uL ANC ANC 13013.4
36 E 1800uL ANC ANC 8109.8
40 A 1800uL ANC ANC 5469.4
40 C 1800uL ANC ANC 10184.4
40 E 1800uL ANC ANC 17728.4
44 A 1800uL ANC ANC 3017.6
44 C 1800uL ANC ANC 8675.6
44 E 1800uL ANC ANC 10561.6
48 A 1800uL ANC ANC 3960.6
48 C 1800uL ANC ANC 10938.8
48 E 1800uL ANC ANC 15465.2
52 A 1800uL ANC ANC 943
52 C 1800uL ANC ANC 4149.2
52 E 1800uL ANC ANC 3017.6
56 A 1800uL ANC ANC 9618.6
56 C 1800uL ANC ANC 27158.4
56 E 1800uL ANC ANC 9430
60 A 1800uL ANC ANC 12259
60 C 1800uL ANC ANC 18482.8
60 E 1800uL ANC ANC 16596.8
4 A 1800uL EVO ANC 26592.6
4 C 1800uL EVO ANC 28478.6
4 E 1800uL EVO ANC 33382.2
8 A 1800uL EVO ANC 11127.4
8 C 1800uL EVO ANC 11693.2
8 E 1800uL EVO ANC 14333.6
12 A 1800uL EVO ANC 13956.4
12 C 1800uL EVO ANC 11316
12 E 1800uL EVO ANC 12259
16 A 1800uL EVO ANC 6186.8
16 C 1800uL EVO ANC 7355.4
16 E 1800uL EVO ANC 13579.2
20 A 1800uL EVO ANC 3394.8
20 C 1800uL EVO ANC 3394.8
20 E 1800uL EVO ANC 3960.6
24 A 1800uL EVO ANC 11693.2
24 C 1800uL EVO ANC 10561.6
24 E 1800uL EVO ANC 5280.8
28 A 1800uL EVO ANC 20557.4
28 C 1800uL EVO ANC 15276.6
28 E 1800uL EVO ANC 6412.4
32 A 1800uL EVO ANC 16219.6
32 C 1800uL EVO ANC 10373
32 E 1800uL EVO ANC 13390.6
36 A 1800uL EVO ANC 31307.6
36 C 1800uL EVO ANC 11127.4
36 E 1800uL EVO ANC 13767.8
40 A 1800uL EVO ANC 7544
40 C 1800uL EVO ANC 12259
40 E 1800uL EVO ANC 11316
44 A 1800uL EVO ANC 4903.6
44 C 1800uL EVO ANC 11881.8
44 E 1800uL EVO ANC 9052.8
48 A 1800uL EVO ANC 6789.6
48 C 1800uL EVO ANC 15088
48 E 1800uL EVO ANC 18482.8
52 A 1800uL EVO ANC 6223.8
52 C 1800uL EVO ANC 5469.4
52 E 1800uL EVO ANC 6035.2
56 A 1800uL EVO ANC 10938.8
56 C 1800uL EVO ANC 23009.2
56 E 1800uL EVO ANC 17351.2
60 A 1800uL EVO ANC 7921.2
60 C 1800uL EVO ANC 13390.6
60 E 1800uL EVO ANC 12824.8
4 A 1800uL ANC EVO 20934.6
4 C 1800uL ANC EVO 33382.2
4 E 1800uL ANC EVO 31496.2
8 A 1800uL ANC EVO 44132.4
8 C 1800uL ANC EVO 47338.6
8 E 1800uL ANC EVO 43189.4
12 A 1800uL ANC EVO 27158.4
12 C 1800uL ANC EVO 41869.2
12 E 1800uL ANC EVO 35079.6
16 A 1800uL ANC EVO 15842.4
16 C 1800uL ANC EVO 46395.6
16 E 1800uL ANC EVO 46584.2
20 A 1800uL ANC EVO 28290
20 C 1800uL ANC EVO 32250.6
20 E 1800uL ANC EVO 35456.8
24 A 1800uL ANC EVO 46207
24 C 1800uL ANC EVO 45452.6
24 E 1800uL ANC EVO 47338.6
28 A 1800uL ANC EVO 13202
28 C 1800uL ANC EVO 7166.8
28 E 1800uL ANC EVO 16031
32 A 1800uL ANC EVO 38474.4
32 C 1800uL ANC EVO 44698.2
32 E 1800uL ANC EVO 41680.6
36 A 1800uL ANC EVO 20746
36 C 1800uL ANC EVO 35456.8
36 E 1800uL ANC EVO 40549
40 A 1800uL ANC EVO 33005
40 C 1800uL ANC EVO 36965.6
40 E 1800uL ANC EVO 27535.6
44 A 1800uL ANC EVO 31307.6
44 C 1800uL ANC EVO 29233
44 E 1800uL ANC EVO 25838.2
48 A 1800uL ANC EVO 27158.4
48 C 1800uL ANC EVO 26781.2
48 E 1800uL ANC EVO 46395.6
52 A 1800uL ANC EVO 22254.8
52 C 1800uL ANC EVO 21123.2
52 E 1800uL ANC EVO 26026.8
56 A 1800uL ANC EVO 37154.2
56 C 1800uL ANC EVO 51487.8
56 E 1800uL ANC EVO 28667.2
60 A 1800uL ANC EVO 31307.6
60 C 1800uL ANC EVO 42435
60 E 1800uL ANC EVO 40549
4 A 1800uL EVO EVO 28478.6
4 C 1800uL EVO EVO 37720
4 E 1800uL EVO EVO 26969.8
8 A 1800uL EVO EVO 8109.8
8 C 1800uL EVO EVO 19991.6
8 E 1800uL EVO EVO 17539.8
12 A 1800uL EVO EVO 9618.6
12 C 1800uL EVO EVO 22066.2
12 E 1800uL EVO EVO 18671.4
16 A 1800uL EVO EVO 7921.2
16 C 1800uL EVO EVO 11316
16 E 1800uL EVO EVO 28101.4
20 A 1800uL EVO EVO 9052.8
20 C 1800uL EVO EVO 7732.6
20 E 1800uL EVO EVO 8109.8
24 A 1800uL EVO EVO 11693.2
24 C 1800uL EVO EVO 39606
24 E 1800uL EVO EVO 20180.2
28 A 1800uL EVO EVO 13013.4
28 C 1800uL EVO EVO 22066.2
28 E 1800uL EVO EVO 12447.6
32 A 1800uL EVO EVO 12636.2
32 C 1800uL EVO EVO 9618.6
32 E 1800uL EVO EVO 15088
36 A 1800uL EVO EVO 10184.4
36 C 1800uL EVO EVO 30176
36 E 1800uL EVO EVO 31684.8
40 A 1800uL EVO EVO 19614.4
40 C 1800uL EVO EVO 21689
40 E 1800uL EVO EVO 14710.8
44 A 1800uL EVO EVO 23575
44 C 1800uL EVO EVO 19614.4
44 E 1800uL EVO EVO 17351.2
48 A 1800uL EVO EVO 19803
48 C 1800uL EVO EVO 17917
48 E 1800uL EVO EVO 20746
52 A 1800uL EVO EVO 19048.6
