transfer_category transfer_volume_ul replicate prey_history predator_history time_days bacteria_od
hi 1800 A anc anc 4 0.223
hi 1800 A anc anc 8 0.192
hi 1800 A anc anc 12 0.21
hi 1800 A anc anc 16 0.238
hi 1800 A anc anc 20 0.259
hi 1800 A anc anc 24 0.223
hi 1800 A anc anc 28 0.217
hi 1800 A anc anc 32 0.206
hi 1800 A anc anc 36 0.221
hi 1800 A anc anc 40 0.306
hi 1800 A anc anc 44 0.273
hi 1800 A anc anc 48 0.343
hi 1800 A anc anc 52 0.294
hi 1800 A anc anc 56 0.305
hi 1800 A anc anc 60 0.27
hi 1800 A anc evo 4 0.192
hi 1800 A anc evo 8 0.181
hi 1800 A anc evo 12 0.239
hi 1800 A anc evo 16 0.248
hi 1800 A anc evo 20 0.257
hi 1800 A anc evo 24 0.246
hi 1800 A anc evo 28 0.245
hi 1800 A anc evo 32 0.268
hi 1800 A anc evo 36 0.238
hi 1800 A anc evo 40 0.247
hi 1800 A anc evo 44 0.273
hi 1800 A anc evo 48 0.25
hi 1800 A anc evo 52 0.233
hi 1800 A anc evo 56 0.262
hi 1800 A anc evo 60 0.325
hi 1800 A anc none 4 0.597
hi 1800 A anc none 8 0.575
hi 1800 A anc none 12 0.574
hi 1800 A anc none 16 0.592
hi 1800 A anc none 20 0.58
hi 1800 A anc none 24 0.559
hi 1800 A anc none 28 0.573
hi 1800 A anc none 32 0.549
hi 1800 A anc none 36 0.523
hi 1800 A anc none 40 0.531
hi 1800 A anc none 44 0.557
hi 1800 A anc none 48 0.495
hi 1800 A anc none 52 0.527
hi 1800 A anc none 56 0.559
hi 1800 A anc none 60 0.614
hi 1800 A evo anc 4 0.292
hi 1800 A evo anc 8 0.316
hi 1800 A evo anc 12 0.326
hi 1800 A evo anc 16 0.345
hi 1800 A evo anc 20 0.319
hi 1800 A evo anc 24 0.295
hi 1800 A evo anc 28 0.299
hi 1800 A evo anc 32 0.282
hi 1800 A evo anc 36 0.305
hi 1800 A evo anc 40 0.322
hi 1800 A evo anc 44 0.324
hi 1800 A evo anc 48 0.333
hi 1800 A evo anc 52 0.343
hi 1800 A evo anc 56 0.283
hi 1800 A evo anc 60 0.267
hi 1800 A evo evo 4 0.282
hi 1800 A evo evo 8 0.265
hi 1800 A evo evo 12 0.3
hi 1800 A evo evo 16 0.299
hi 1800 A evo evo 20 0.269
hi 1800 A evo evo 24 0.284
hi 1800 A evo evo 28 0.267
hi 1800 A evo evo 32 0.264
hi 1800 A evo evo 36 0.288
hi 1800 A evo evo 40 0.3
hi 1800 A evo evo 44 0.31
hi 1800 A evo evo 48 0.326
hi 1800 A evo evo 52 0.247
hi 1800 A evo evo 56 0.334
hi 1800 A evo evo 60 0.246
hi 1800 A evo none 4 0.538
hi 1800 A evo none 8 0.512
hi 1800 A evo none 12 0.5
hi 1800 A evo none 16 0.544
hi 1800 A evo none 20 0.549
hi 1800 A evo none 24 0.567
hi 1800 A evo none 28 0.561
hi 1800 A evo none 32 0.542
hi 1800 A evo none 36 0.563
hi 1800 A evo none 40 0.595
hi 1800 A evo none 44 0.592
hi 1800 A evo none 48 0.571
hi 1800 A evo none 52 0.549
hi 1800 A evo none 56 0.597
hi 1800 A evo none 60 0.627
hi 1800 C anc anc 4 0.214
hi 1800 C anc anc 8 0.197
hi 1800 C anc anc 12 0.226
hi 1800 C anc anc 16 0.224
hi 1800 C anc anc 20 0.257
hi 1800 C anc anc 24 0.229
hi 1800 C anc anc 28 0.183
hi 1800 C anc anc 32 0.176
hi 1800 C anc anc 36 0.196
hi 1800 C anc anc 40 0.242
hi 1800 C anc anc 44 0.257
hi 1800 C anc anc 48 0.282
hi 1800 C anc anc 52 0.284
hi 1800 C anc anc 56 0.227
hi 1800 C anc anc 60 0.242
hi 1800 C anc evo 4 0.194
hi 1800 C anc evo 8 0.19
hi 1800 C anc evo 12 0.255
hi 1800 C anc evo 16 0.236
hi 1800 C anc evo 20 0.246
hi 1800 C anc evo 24 0.247
hi 1800 C anc evo 28 0.254
hi 1800 C anc evo 32 0.256
hi 1800 C anc evo 36 0.245
hi 1800 C anc evo 40 0.258
hi 1800 C anc evo 44 0.293
hi 1800 C anc evo 48 0.252
hi 1800 C anc evo 52 0.247
hi 1800 C anc evo 56 0.215
hi 1800 C anc evo 60 0.313
hi 1800 C anc none 4 0.593
hi 1800 C anc none 8 0.555
hi 1800 C anc none 12 0.551
hi 1800 C anc none 16 0.561
hi 1800 C anc none 20 0.587
hi 1800 C anc none 24 0.574
hi 1800 C anc none 28 0.581
hi 1800 C anc none 32 0.534
hi 1800 C anc none 36 0.559
hi 1800 C anc none 40 0.539
